# scenario=calib
t,state,theta_e_cmd,v_d,theta_m_enc,mech_accum,id,iq
0,1,0,0.000666667,1.0339,0,-1.01605e-05,-1.39583e-05
0.001,1,0,0.014,1.0339,0,-0.00107384,-0.00146861
0.002,1,0,0.0273333,1.0339,0,-0.00246026,-0.00335351
0.003,1,0,0.0406666,1.0339,0,-0.00386048,-0.00525459
0.004,1,0,0.054,1.0339,0,-0.0052609,-0.00715645
0.005,1,0,0.0673333,1.0339,0,-0.0066608,-0.00905873
0.00599999,1,0,0.0806666,1.0339,0,-0.00805996,-0.0109615
0.00699999,1,0,0.0939999,1.0339,0,-0.00945822,-0.012865
0.00799999,1,0,0.107333,1.0339,0,-0.0108554,-0.0147691
0.00899999,1,0,0.120667,1.0339,0,-0.0122515,-0.0166742
0.00999999,1,0,0.134,1.0339,0,-0.0136462,-0.0185802
0.011,1,0,0.147333,1.0339,0,-0.0150393,-0.0204873
0.012,1,0,0.160666,1.0339,0,-0.0164308,-0.0223956
0.013,1,0,0.174,1.0339,0,-0.0178204,-0.0243053
0.014,1,0,0.187333,1.0339,0,-0.019208,-0.0262164
0.015,1,0,0.200666,1.0339,0,-0.0205934,-0.028129
0.016,1,0,0.214,1.0339,0,-0.0219765,-0.0300433
0.017,1,0,0.227333,1.0339,0,-0.0233571,-0.0319594
0.018,1,0,0.240667,1.0339,0,-0.0247351,-0.0338773
0.019,1,0,0.254,1.0339,0,-0.0261103,-0.0357973
0.0200001,1,0,0.267334,1.0339,0,-0.0274824,-0.0377195
0.0210001,1,0,0.280668,1.0339,0,-0.0288513,-0.0396391
0.0220001,1,0,0.294001,1.0339,0,-0.0302148,-0.0415126
0.0230001,1,0,0.307335,1.0339,0,-0.031569,-0.0433245
0.0240001,1,0,0.320668,1.03544,0,-0.0329093,-0.0450793
0.0250001,1,0,0.334002,1.03544,0,-0.0342307,-0.0467826
0.0260002,1,0,0.347335,1.03544,0,-0.0355276,-0.0484402
0.0270002,1,0,0.360669,1.03544,0,-0.0367942,-0.0500581
0.0280002,1,0,0.374002,1.03544,0,-0.0380237,-0.0516421
0.0290002,1,0,0.387336,1.03544,0,-0.0392092,-0.0531979
0.0300002,1,0,0.40067,1.03544,0,-0.0403431,-0.0547317
0.0310002,1,0,0.414003,1.03697,0,-0.0414172,-0.0562489
0.0320003,1,0,0.427337,1.03697,0,-0.0424226,-0.0577553
0.0330003,1,0,0.44067,1.03697,0,-0.0433499,-0.0592562
0.0340003,1,0,0.454004,1.03851,0,-0.0441889,-0.060757
0.0350003,1,0,0.467337,1.03851,0,-0.0449287,-0.0622625
0.0360003,1,0,0.480671,1.04004,0,-0.0455574,-0.0637772
0.0370003,1,0,0.494005,1.04004,0,-0.0460625,-0.0653052
0.0380004,1,0,0.507338,1.04157,0,-0.0464302,-0.0668501
0.0390004,1,0,0.520672,1.04311,0,-0.0466461,-0.0684147
0.0400004,1,0,0.534005,1.04464,0,-0.0466942,-0.0700012
0.0410004,1,0,0.547339,1.04617,0,-0.0465578,-0.0716105
0.0420004,1,0,0.560672,1.04771,0,-0.0462188,-0.0732429
0.0430004,1,0,0.574006,1.04924,0,-0.0456579,-0.0748971
0.0440005,1,0,0.587339,1.05078,0,-0.0448544,-0.0765704
