# scenario=haptic-curves
theta,free,spring,damped,detents12,detents_smooth,endstops
-3.14159,0,0.1,0,0,3.97496e-09,0.1
-3.13845,0,0.1,0,-0.00125666,-0.00156921,0.1
-3.13531,0,0.1,0,-0.00251331,-0.00312967,0.1
-3.13217,0,0.1,0,-0.00376987,-0.00467218,0.1
-3.12903,0,0.1,0,-0.00502653,-0.0061883,0.1
-3.12588,0,0.1,0,-0.00628319,-0.00766926,0.1
-3.12274,0,0.1,0,-0.00753984,-0.00910664,0.1
-3.1196,0,0.1,0,-0.0087965,-0.0104921,0.1
-3.11646,0,0.1,0,-0.0100532,-0.0118181,0.1
-3.11332,0,0.1,0,-0.0113097,-0.0130769,0.1
-3.11018,0,0.1,0,-0.0125664,-0.0142614,0.1
-3.10704,0,0.1,0,-0.013823,-0.0153648,0.1
-3.10389,0,0.1,0,-0.0150797,-0.016381,0.1
-3.10075,0,0.1,0,-0.0163363,-0.0173041,0.1
-3.09761,0,0.1,0,-0.017593,-0.0181289,0.1
-3.09447,0,0.1,0,-0.0188496,-0.0188506,0.1
-3.09133,0,0.1,0,-0.0201062,-0.0194652,0.1
-3.08819,0,0.1,0,-0.0213629,-0.0199692,0.1
-3.08504,0,0.1,0,-0.0226194,-0.0203597,0.1
-3.0819,0,0.1,0,-0.0238761,-0.0206346,0.1
-3.07876,0,0.1,0,-0.0251327,-0.0207922,0.1
-3.07562,0,0.1,0,-0.0263893,-0.0208317,0.1
-3.07248,0,0.1,0,-0.027646,-0.0207528,0.1
-3.06934,0,0.1,0,-0.0289026,-0.020556,0.1
-3.06619,0,0.1,0,-0.0301593,-0.0202423,0.1
-3.06305,0,0.1,0,-0.0314159,-0.0198137,0.1
-3.05991,0,0.1,0,-0.0326725,-0.0192725,0.1
-3.05677,0,0.1,0,-0.0339292,-0.0186217,0.1
-3.05363,0,0.1,0,-0.0351858,-0.0178652,0.1
-3.05049,0,0.1,0,-0.0364425,-0.0170071,0.1
-3.04734,0,0.1,0,-0.0376991,-0.0160524,0.1
-3.0442,0,0.1,0,-0.0389558,-0.0150065,0.1
