# scenario=haptic-detents
t,theta,omega,theta_finger,tau_cmd,tau_ext,iq_ref,iq
0,0,0,0,0,0,0,0
0.001,0,0,0.0015708,0,0.000471239,0,-1.37164e-05
0.002,0,0,0.00314159,0,0.000942478,0,-2.20707e-05
0.003,0,0,0.00471239,0,0.00141372,0,-2.33754e-05
0.004,0,0,0.00628318,0,0.00188495,0,-2.35305e-05
0.005,0,0,0.00785397,0,0.00235619,0,-2.35585e-05
0.00599999,0,0,0.00942477,0,0.00282743,0,-2.35544e-05
0.00699999,0,0,0.0109956,0,0.00329867,0,-2.51167e-05
0.00799999,0,0,0.0125664,0,0.00376991,0,-7.06677e-05
0.00899999,0.00153399,0.377669,0.0141371,-0.000991263,0.00378095,-0.012516,-0.0113689
0.00999999,0.00153399,0.278477,0.0157079,-0.000892071,0.00425219,-0.0112635,-0.0116405
0.011,0.00153399,0.205336,0.0172787,-0.000818931,0.00472343,-0.01034,-0.0107635
0.012,0.00153399,0.151406,0.0188495,-0.000765,0.00519466,-0.00965909,-0.0100771
0.013,0.00153399,0.11164,0.0204203,-0.000725234,0.0056659,-0.009157,-0.00958469
0.014,0.00153399,0.0823185,0.0219911,-0.000695913,0.00613714,-0.00878677,-0.00923944
0.015,0.00153399,0.060698,0.0235619,-0.000674292,0.00660838,-0.00851379,-0.00900304
0.016,0.00306797,0.422425,0.0251327,-0.00164961,0.00661942,-0.0208285,-0.0200781
0.017,0.00306797,0.311478,0.0267035,-0.00153867,0.00709067,-0.0194276,-0.0201831
0.018,0.00460196,0.631069,0.0282744,-0.00247185,0.00710172,-0.0312102,-0.0291431
0.019,0.00460196,0.465322,0.0298452,-0.0023061,0.00757297,-0.0291175,-0.0300193
0.0200001,0.00613594,0.720777,0.031416,-0.00317515,0.00758402,-0.0400903,-0.0397423
0.0210001,0.00766993,0.958089,0.0329868,-0.00402606,0.00759507,-0.0508341,-0.0456915
0.0220001,0.00766993,0.706453,0.0345577,-0.00377442,0.00806632,-0.0476568,-0.0486903
0.0230001,0.00920391,0.876249,0.0361285,-0.00455781,0.00807737,-0.0575482,-0.0581132
0.0240001,0.0107379,1.02378,0.0376993,-0.00531894,0.00808842,-0.0671583,-0.0670274
0.0250001,0.0122719,1.18151,0.0392701,-0.00609026,0.00809947,-0.0768972,-0.0718924
0.0260002,0.0138059,1.32462,0.0408409,-0.00684696,0.00811052,-0.0864515,-0.0740562
0.0270002,0.0138059,0.976714,0.0424118,-0.00649906,0.00858177,-0.0820588,-0.0829866
0.0280002,0.0153399,1.09785,0.0439826,-0.0072338,0.00859282,-0.0913358,-0.0911433
0.0290002,0.0168738,1.23613,0.0455534,-0.00798566,0.00860387,-0.100829,-0.0957112
0.0300002,0.0168738,0.911467,0.0471242,-0.007661,0.00907512,-0.0967298,-0.0976802
0.0310002,0.0184078,1.07347,0.0486951,-0.0084366,0.00908617,-0.106523,-0.104592
0.0320003,0.0184078,0.791533,0.0502659,-0.00815466,0.00955742,-0.102963,-0.103837
0.0330003,0.0199418,0.98504,0.0518367,-0.00896176,0.00956847,-0.113154,-0.111078
0.0340003,0.0199418,0.726325,0.0534075,-0.00870305,0.0100397,-0.109887,-0.110643
0.0350003,0.0199418,0.53556,0.0549784,-0.00851228,0.010511,-0.107478,-0.108165
0.0360003,0.0214758,0.796297,0.0565492,-0.00938661,0.010522,-0.118518,-0.116218
0.0370003,0.0214758,0.587155,0.05812,-0.00917747,0.0109933,-0.115877,-0.116474
0.0380004,0.0214758,0.432942,0.0596908,-0.00902326,0.0114645,-0.11393,-0.114512
0.0390004,0.0214758,0.319232,0.0612616,-0.00890955,0.0119358,-0.112494,-0.112984
0.0400004,0.0214758,0.235388,0.0628325,-0.00882571,0.012407,-0.111436,-0.111869
0.0410004,0.0214758,0.173565,0.0644033,-0.00876388,0.0128782,-0.110655,-0.111064
0.0420004,0.0230098,0.483321,0.0659741,-0.00968723,0.0128893,-0.122314,-0.1222
0.0430004,0.0230098,0.35638,0.0675449,-0.00956029,0.0133605,-0.120711,-0.121322
0.0440005,0.0230098,0.262779,0.0691158,-0.00946669,0.0138318,-0.119529,-0.120119
0.0450005,0.0230098,0.193761,0.0706866,-0.00939767,0.014303,-0.118657,-0.119216
0.0460005,0.0245438,0.54427,0.0722574,-0.0103618,0.0143141,-0.13083,-0.128528
0.0470005,0.0245438,0.401321,0.0738282,-0.0102188,0.0147853,-0.129026,-0.129719
0.0480005,0.0245438,0.295916,0.075399,-0.0101134,0.0152566,-0.127695,-0.128447
0.0490005,0.0260777,0.573538,0.0769699,-0.0110046,0.0152676,-0.138947,-0.13914
0.0500006,0.0260777,0.422902,0.0785407,-0.010854,0.0157389,-0.137045,-0.137927
0.0510006,0.0276117,0.667171,0.0801115,-0.0117119,0.0157499,-0.147877,-0.148189
0.0520006,0.0291457,0.918562,0.0816823,-0.0125769,0.015761,-0.158799,-0.153571
0.0530006,0.0291457,0.677307,0.0832532,-0.0123356,0.0162322,-0.155752,-0.156683
0.0540006,0.0306797,0.877086,0.084824,-0.013149,0.0162433,-0.166022,-0.165735
0.0550006,0.0322137,1.10015,0.0863948,-0.0139856,0.0162543,-0.176586,-0.164145
0.0560007,0.0322137,0.811202,0.0879656,-0.0136967,0.0167256,-0.172938,-0.173744
0.0570007,0.0337477,0.975814,0.0895365,-0.0144749,0.0167366,-0.182764,-0.182504
0.0580007,0.0352817,1.17295,0.0911073,-0.0152856,0.0167477,-0.193,-0.180558
0.0590007,0.0352817,0.864879,0.0926781,-0.0149775,0.0172189,-0.18911,-0.18989
0.0600007,0.0368156,1.03912,0.0942489,-0.0157654,0.01723,-0.199058,-0.197179
0.0610007,0.0368156,0.766203,0.0958197,-0.0154925,0.0177012,-0.195612,-0.196562
0.0620008,0.0383496,0.942634,0.0973906,-0.0162825,0.0177123,-0.205587,-0.205172
0.0630008,0.0383496,0.695057,0.0989614,-0.0160349,0.0181835,-0.202461,-0.203352
0.0640008,0.0398836,0.913903,0.100532,-0.0168673,0.0181946,-0.212972,-0.210891
0.0650008,0.0398836,0.673872,0.102103,-0.0166273,0.0186658,-0.209941,-0.210714
0.0660008,0.0398836,0.496883,0.103674,-0.0164503,0.0191371,-0.207706,-0.20843
0.0670008,0.0414176,0.721722,0.105245,-0.0172888,0.0191481,-0.218292,-0.218378
0.0680009,0.0414176,0.532166,0.106816,-0.0170992,0.0196194,-0.215899,-0.216614
0.0690009,0.0414176,0.392396,0.108386,-0.0169594,0.0200906,-0.214134,-0.214758
0.0700009,0.0429516,0.667005,0.109957,-0.0178476,0.0201017,-0.225349,-0.224609
0.0710009,0.0429516,0.49182,0.111528,-0.0176725,0.0205729,-0.223137,-0.223802
0.0720009,0.0429516,0.362646,0.113099,-0.0175433,0.0210442,-0.221506,-0.222132
0.0730009,0.0444856,0.720824,0.11467,-0.0185151,0.0210552,-0.233776,-0.220829
0.074001,0.0444856,0.531504,0.11624,-0.0183257,0.0215265,-0.231385,-0.23176
0.075001,0.0444856,0.391908,0.117811,-0.0181861,0.0219977,-0.229623,-0.230317
0.076001,0.0444856,0.288975,0.119382,-0.0180832,0.022469,-0.228323,-0.228962
0.077001,0.0460196,0.590747,0.120953,-0.0189986,0.02248,-0.239881,-0.239196
0.078001,0.0460196,0.435591,0.122524,-0.0188434,0.0229513,-0.237922,-0.238672
0.079001,0.0475535,0.77461,0.124095,-0.019796,0.0229623,-0.24995,-0.237177
0.0800011,0.0475535,0.571163,0.125665,-0.0195926,0.0234336,-0.247381,-0.247916
0.0810011,0.0475535,0.421151,0.127236,-0.0194426,0.0239048,-0.245487,-0.246326
0.0820011,0.0490875,0.66588,0.128807,-0.0203009,0.0239159,-0.256324,-0.256575
0.0830011,0.0506215,0.944416,0.130378,-0.021193,0.0239269,-0.267589,-0.254984
0.0840011,0.0506215,0.696371,0.131949,-0.020945,0.0243982,-0.264457,-0.265139
0.0850011,0.0521555,0.940092,0.13352,-0.0218023,0.0244092,-0.275281,-0.270025
0.0860012,0.0521555,0.693183,0.13509,-0.0215554,0.0248804,-0.272164,-0.273039
0.0870012,0.0536895,0.912521,0.136661,-0.0223883,0.0248915,-0.282681,-0.280759
0.0880012,0.0536895,0.672853,0.138232,-0.0221486,0.0253627,-0.279655,-0.280599
0.0890012,0.0552235,0.873801,0.139803,-0.0229632,0.0253738,-0.289939,-0.289556
0.0900012,0.0567575,1.09773,0.141374,-0.0238007,0.0253848,-0.300514,-0.287952
0.0910012,0.0567575,0.809416,0.142944,-0.0235124,0.0258561,-0.296874,-0.297578
0.0920013,0.0582914,1.05025,0.144515,-0.0243668,0.0258671,-0.307662,-0.295068
0.0930013,0.0582914,0.77441,0.146086,-0.024091,0.0263384,-0.304179,-0.304815
0.0940013,0.0598254,1.02444,0.147657,-0.0249546,0.0263494,-0.315083,-0.30243
0.0950013,0.0598254,0.755377,0.149228,-0.0246855,0.0268207,-0.311686,-0.312274
0.0960013,0.0598254,0.556982,0.150799,-0.0244871,0.0272919,-0.309181,-0.310001
0.0970014,0.0613594,0.788363,0.152369,-0.0253321,0.027303,-0.31985,-0.31927
0.0980014,0.0613594,0.581304,0.15394,-0.0251251,0.0277742,-0.317236,-0.318013
0.0990014,0.0628934,0.882053,0.155511,-0.0260394,0.0277853,-0.32878,-0.315965
0.100001,0.0628934,0.650387,0.157082,-0.0258077,0.0282565,-0.325855,-0.326317
0.101001,0.0628934,0.479567,0.158653,-0.0256369,0.0287278,-0.323698,-0.324432
0.102001,0.0644274,0.780231,0.160223,-0.0265512,0.0287388,-0.335242,-0.329687
0.103001,0.0644274,0.575308,0.161794,-0.0263463,0.0292101,-0.332655,-0.333269
0.104001,0.0644274,0.424207,0.163365,-0.0261952,0.0296813,-0.330747,-0.33146
0.105001,0.0659614,0.739411,0.164936,-0.027124,0.0296924,-0.342474,-0.336909
0.106002,0.0659614,0.545209,0.166507,-0.0269298,0.0301636,-0.340022,-0.340641
0.107002,0.0659614,0.402013,0.168078,-0.0267866,0.0306349,-0.338214,-0.338944
0.108002,0.0674953,0.697826,0.169648,-0.027696,0.0306459,-0.349696,-0.347503
0.109002,0.0674953,0.514546,0.171219,-0.0275127,0.0311172,-0.347382,-0.348123
0.110002,0.0674953,0.379403,0.17279,-0.0273775,0.0315884,-0.345676,-0.34643
0.111002,0.0690293,0.635098,0.174361,-0.0282468,0.0315995,-0.356652,-0.356816
0.112002,0.0690293,0.468293,0.175932,-0.02808,0.0320707,-0.354546,-0.355371
0.113002,0.0705633,0.722968,0.177503,-0.0289483,0.0320818,-0.365509,-0.364991
0.114002,0.0705633,0.533085,0.179073,-0.0287584,0.032553,-0.363111,-0.363977
0.115002,0.0720973,0.794472,0.180644,-0.0296334,0.0325641,-0.374159,-0.372119
0.116002,0.0720973,0.585809,0.182215,-0.0294247,0.0330353,-0.371524,-0.372384
0.117002,0.0736313,0.833348,0.183786,-0.0302859,0.0330464,-0.382397,-0.380392
0.118002,0.0736313,0.614474,0.185357,-0.030067,0.0335176,-0.379634,-0.380517
0.119002,0.0751653,0.830756,0.186927,-0.0308969,0.0335287,-0.390112,-0.389692
