# scenario=haptic-endstops
t,theta,omega,theta_finger,tau_cmd,tau_ext,iq_ref,iq
0,0,0,0,0,0,0,0
0.001,0,0,0.0055292,0,0.00165876,0,-4.82987e-05
0.002,0,0,0.0110584,0,0.00331751,0,-7.76995e-05
0.003,0,0,0.0165874,0,0.00497623,0,-0.000157733
0.004,0.00153399,0.453425,0.0221164,-0.000453425,0.00617473,-0.00572506,-0.000378909
0.005,0.00153399,0.334335,0.0276453,-0.000334335,0.00783338,-0.00422141,-0.0050604
0.00599999,0.00153399,0.246524,0.0331739,-0.000246524,0.00949198,-0.00311268,-0.00427216
0.00699999,0.00306797,0.635201,0.0387024,-0.000635201,0.0106903,-0.00802021,-0.00361486
0.00799999,0.00306797,0.468369,0.0442306,-0.000468369,0.0123488,-0.00591375,-0.00762366
0.00899999,0.00460196,0.700697,0.0497585,-0.000700697,0.013547,-0.00884719,-0.0108886
0.00999999,0.00766993,1.29863,0.0552861,-0.00129863,0.0142849,-0.0163968,-0.0164222
0.011,0.0107379,1.78864,0.0608134,-0.00178864,0.0150227,-0.0225839,-0.0196527
0.012,0.0138059,2.17369,0.0663403,-0.00217369,0.0157603,-0.0274456,-0.0243568
0.013,0.0168738,2.40707,0.0718668,-0.00240707,0.0164979,-0.0303923,-0.0317812
0.014,0.0214758,2.98504,0.0773928,-0.00298504,0.0167751,-0.0376898,-0.0356638
0.015,0.0260777,3.43353,0.0829183,-0.00343353,0.0170522,-0.0433526,-0.0415453
0.016,0.0306797,3.71509,0.0884433,-0.00371509,0.0173291,-0.0469077,-0.0492251
0.017,0.0368156,4.32718,0.0939679,-0.00432718,0.0171457,-0.0546361,-0.0538806
0.018,0.0429516,4.77851,0.0994918,-0.00477851,0.0169621,-0.0603347,-0.060106
0.019,0.0506215,5.53792,0.105015,-0.00553792,0.0163181,-0.0699232,-0.0677168
0.0200001,0.0567575,5.69647,0.110538,-0.00569647,0.0161341,-0.0719251,-0.071303
0.0210001,0.0644274,6.21478,0.11606,-0.00621478,0.0154897,-0.0784695,-0.0771063
0.0220001,0.0720973,6.59696,0.121581,-0.00659696,0.0148451,-0.083295,-0.0823503
0.0230001,0.0813012,7.25643,0.127101,-0.00725643,0.0137401,-0.0916216,-0.0907505
0.0240001,0.0889711,7.36503,0.132621,-0.00736503,0.013095,-0.0929928,-0.0929122
0.0250001,0.098175,7.87172,0.13814,-0.00787172,0.0119895,-0.0993904,-0.0969203
0.0260002,0.105845,7.81872,0.143658,-0.00781872,0.0113439,-0.0987211,-0.0989889
