# scenario=haptic-spring
t,theta,omega,theta_finger,tau_cmd,tau_ext,iq_ref,iq
0,0,0,0,0,0,0,0
0.001,0,0,0.00471238,0,0.00141371,0,-4.11656e-05
0.002,0,0,0.00942472,0,0.00282742,0,-6.62109e-05
0.003,0,0,0.014137,0,0.00424109,0,-9.32603e-05
0.004,0,0,0.018849,0,0.00565471,0,-0.000259674
0.005,0.00153399,0.377669,0.023561,-0.000847378,0.00660809,-0.0106992,-0.0105299
0.00599999,0.00153399,0.278477,0.0282726,-0.000648992,0.00802159,-0.00819435,-0.00953811
0.00699999,0.00153399,0.205336,0.032984,-0.000502712,0.00943501,-0.00634737,-0.00776621
0.00799999,0.00306797,0.552805,0.0376951,-0.00128969,0.0103881,-0.0162839,-0.0155922
0.00899999,0.00460196,0.861039,0.0424058,-0.00199819,0.0113412,-0.0252297,-0.0148298
0.00999999,0.00613594,1.08832,0.0471161,-0.00254479,0.012294,-0.0321312,-0.0221998
0.011,0.00766993,1.2291,0.0518259,-0.00291839,0.0132468,-0.0368483,-0.0347087
0.012,0.00920391,1.30768,0.0565352,-0.0031676,0.0141994,-0.0399949,-0.041789
0.013,0.0122719,1.74619,0.0612439,-0.00422869,0.0146916,-0.0533925,-0.0524389
0.014,0.0153399,2.09185,0.0659521,-0.00510409,0.0151837,-0.0644456,-0.0636289
0.015,0.0184078,2.3244,0.0706596,-0.00575327,0.0156755,-0.0726423,-0.0733206
0.016,0.0230098,2.92408,0.0753664,-0.00722874,0.015707,-0.091272,-0.0832111
0.017,0.0260777,2.96037,0.0800725,-0.00748541,0.0161984,-0.0945128,-0.0959991
0.018,0.0306797,3.34248,0.0847779,-0.00852574,0.0162295,-0.107648,-0.10967
0.019,0.0352817,3.64796,0.0894824,-0.00941282,0.0162602,-0.118849,-0.120125
0.0200001,0.0398836,3.84948,0.094186,-0.010092,0.0162907,-0.127424,-0.13081
0.0210001,0.0460196,4.45149,0.0988887,-0.0116642,0.0158608,-0.147275,-0.138516
0.0220001,0.0506215,4.51482,0.10359,-0.0120669,0.0158907,-0.15236,-0.147531
0.0230001,0.0552235,4.5392,0.108291,-0.0123918,0.0159203,-0.156462,-0.152605
0.0240001,0.0598254,4.53037,0.112991,-0.0126503,0.0159496,-0.159725,-0.163112
0.0250001,0.0659614,4.95355,0.117689,-0.0138648,0.0155184,-0.17506,-0.167519
0.0260002,0.0705633,4.88502,0.122387,-0.0140038,0.015547,-0.176816,-0.17288
0.0270002,0.0751653,4.78536,0.127083,-0.0140806,0.0155753,-0.177786,-0.181708
