# scenario=load
t,iq_ref,iq,tau_e,tau_load,omega,theta_m
0,0.4,0.0677262,0.0048646,0,0.00596252,1.11579e-07
5e-05,0.4,0.123259,0.00935278,0,0.0225549,8.30332e-07
0.0001,0.4,0.168877,0.0130389,0,0.0462284,2.58606e-06
0.00015,0.4,0.206424,0.0160721,0,0.0756788,5.67804e-06
0.0002,0.4,0.237388,0.018573,0,0.111885,1.04322e-05
0.00025,0.4,0.262975,0.0206392,0,0.153728,1.71561e-05
0.0003,0.4,0.284163,0.0223497,0,0.200231,2.61039e-05
0.00035,0.4,0.301746,0.0237689,0,0.250597,3.7486e-05
0.0004,0.4,0.31637,0.024949,0,0.304171,5.14772e-05
0.00045,0.4,0.32856,0.0259324,0,0.360415,6.82224e-05
0.0005,0.4,0.338745,0.0267538,0,0.418885,8.78427e-05
0.00055,0.4,0.347275,0.0274416,0,0.479218,0.000110439
0.0006,0.4,0.354435,0.0280188,0,0.54111,0.000136096
0.00065,0.4,0.36046,0.0285043,0,0.604314,0.000164885
0.0007,0.4,0.365542,0.0289138,0,0.668621,0.000196865
0.00075,0.4,0.369839,0.0292599,0,0.733859,0.000232086
0.0008,0.4,0.37348,0.0295531,0,0.799884,0.000270592
0.00085,0.4,0.376573,0.0298022,0,0.866576,0.000312418
0.0009,0.4,0.379207,0.0300141,0,0.933836,0.000357594
0.00095,0.4,0.381454,0.0301949,0,1.00158,0.000406147
0.001,0.4,0.383375,0.0303495,0,1.06973,0.000458098
0.00105,0.4,0.385022,0.0304819,0,1.13824,0.000513468
0.0011,0.4,0.386435,0.0305956,0,1.20705,0.000572271
0.00115,0.4,0.387652,0.0306934,0,1.27611,0.000634521
0.0012,0.4,0.3887,0.0307777,0,1.3454,0.000700231
0.00125,0.4,0.389606,0.0308504,0,1.41488,0.000769411
0.0013,0.4,0.390389,0.0309134,0,1.48452,0.00084207
0.00135,0.4,0.391067,0.0309679,0,1.55431,0.000918214
0.0014,0.4,0.391655,0.0310151,0,1.62421,0.000997851
0.00145,0.4,0.392167,0.0310562,0,1.69423,0.00108099
0.0015,0.4,0.392612,0.0310919,0,1.76433,0.00116763
0.00155,0.4,0.392999,0.0311231,0,1.83452,0.00125777
0.0016,0.4,0.393337,0.0311502,0,1.90477,0.00135143
0.00165,0.4,0.393633,0.0311739,0,1.97508,0.0014486
0.0017,0.4,0.39389,0.0311946,0,2.04545,0.00154929
0.00175,0.4,0.394116,0.0312127,0,2.11585,0.0016535
0.0018,0.4,0.394314,0.0312286,0,2.1863,0.00176123
0.00185,0.4,0.394487,0.0312424,0,2.25678,0.00187248
0.0019,0.4,0.394639,0.0312546,0,2.32729,0.00198726
0.00195,0.4,0.394772,0.0312653,0,2.39783,0.00210556
0.002,0.4,0.394889,0.0312747,0,2.46838,0.0022274
0.00205,0.4,0.394992,0.031283,0,2.53896,0.00235276
0.0021,0.4,0.395082,0.0312902,0,2.60955,0.00248164
0.00215,0.4,0.395162,0.0312966,0,2.68015,0.00261406
0.0022,0.4,0.395232,0.0313022,0,2.75076,0.00275001
0.00225,0.4,0.395294,0.0313072,0,2.82139,0.00288949
0.0023,0.4,0.395348,0.0313115,0,2.89202,0.00303251
0.00235,0.4,0.395396,0.0313154,0,2.96266,0.00317905
0.0024,0.4,0.395438,0.0313187,0,3.0333,0.00332912
0.00245,0.4,0.395475,0.0313217,0,3.10395,0.00348273
0.0025,0.4,0.395508,0.0313244,0,3.1746,0.00363987
0.00255,0.4,0.395537,0.0313267,0,3.24526,0.00380055
0.0026,0.4,0.395563,0.0313287,0,3.31592,0.00396475
0.00265,0.4,0.395585,0.0313305,0,3.38657,0.00413249
0.0027,0.4,0.395605,0.0313321,0,3.45723,0.00430376
0.00275,0.4,0.395623,0.0313336,0,3.52789,0.00447857
0.0028,0.4,0.395638,0.0313348,0,3.59855,0.00465691
0.00285,0.4,0.395652,0.0313359,0,3.66921,0.00483878
0.0029,0.4,0.395664,0.0313369,0,3.73986,0.00502418
0.00295,0.4,0.395675,0.0313378,0,3.81052,0.00521312
0.003,0.4,0.395685,0.0313385,0,3.88117,0.00540558
0.00305,0.4,0.395693,0.0313392,0,3.95183,0.00560159
0.0031,0.4,0.395701,0.0313398,0,4.02248,0.00580112
0.00315,0.4,0.395707,0.0313403,0,4.09312,0.00600419
0.0032,0.4,0.395713,0.0313408,0,4.16377,0.00621079
0.00325,0.4,0.395718,0.0313412,0,4.23441,0.00642092
0.0033,0.4,0.395723,0.0313416,0,4.30506,0.00663458
0.00335,0.4,0.395727,0.0313419,0,4.37569,0.00685178
0.0034,0.4,0.395731,0.0313422,0,4.44633,0.0070725
0.00345,0.4,0.395734,0.0313425,0,4.51696,0.00729676
0.0035,0.4,0.395737,0.0313427,0,4.58759,0.00752455
0.00355,0.4,0.39574,0.0313429,0,4.65822,0.00775587
0.0036,0.4,0.395742,0.0313431,0,4.72884,0.00799073
0.00365,0.4,0.395744,0.0313433,0,4.79946,0.00822911
0.0037,0.4,0.395746,0.0313434,0,4.87008,0.00847103
0.00375,0.4,0.395748,0.0313436,0,4.9407,0.00871647
0.0038,0.4,0.395749,0.0313437,0,5.01131,0.00896545
0.00385,0.4,0.395751,0.0313438,0,5.08191,0.00921796
0.0039,0.4,0.395752,0.0313439,0,5.15252,0.00947399
0.00395,0.4,0.395753,0.031344,0,5.22312,0.00973356
0.004,0.4,0.395754,0.0313441,0,5.29372,0.00999666
0.00405,0.4,0.395755,0.0313441,0,5.36431,0.0102633
0.0041,0.4,0.395756,0.0313442,0,5.43491,0.0105334
0.00415,0.4,0.395757,0.0313443,0,5.50549,0.0108071
0.0042,0.4,0.395757,0.0313443,0,5.57608,0.0110843
0.00425,0.4,0.395758,0.0313444,0,5.64666,0.0113651
0.0043,0.4,0.395759,0.0313444,0,5.71724,0.0116494
0.00435,0.4,0.395759,0.0313445,0,5.78781,0.0119372
0.0044,0.4,0.39576,0.0313445,0,5.85838,0.0122285
0.00445,0.4,0.39576,0.0313446,0,5.92895,0.0125234
0.0045,0.4,0.395761,0.0313446,0,5.99951,0.0128217
0.00455,0.4,0.395761,0.0313446,0,6.07008,0.0131237
0.0046,0.4,0.395762,0.0313447,0,6.14063,0.0134291
0.00465,0.4,0.395762,0.0313447,0,6.21119,0.0137381
0.0047,0.4,0.395762,0.0313447,0,6.28174,0.0140506
0.00475,0.4,0.395763,0.0313448,0,6.35228,0.0143666
0.0048,0.4,0.395763,0.0313448,0,6.42283,0.0146862
0.00485,0.4,0.395763,0.0313448,0,6.49337,0.0150092
0.0049,0.4,0.395764,0.0313448,0,6.5639,0.0153358
0.00495,0.4,0.395764,0.0313448,0,6.63444,0.015666
0.005,0.4,0.395764,0.0313449,0,6.70497,0.0159996
0.00505,0.4,0.395764,0.0313449,0,6.77549,0.0163368
0.0051,0.4,0.395765,0.0313449,0,6.84602,0.0166775
0.00514999,0.4,0.395765,0.0313449,0,6.91653,0.0170218
0.00519999,0.4,0.395765,0.031345,0,6.98705,0.0173696
0.00524999,0.4,0.395766,0.031345,0,7.05756,0.0177208
0.00529999,0.4,0.395766,0.031345,0,7.12807,0.0180757
0.00534999,0.4,0.395766,0.031345,0,7.19858,0.018434
0.00539999,0.4,0.395766,0.031345,0,7.26908,0.0187959
0.00544999,0.4,0.395767,0.0313451,0,7.33958,0.0191613
0.00549999,0.4,0.395767,0.0313451,0,7.41007,0.0195302
0.00554999,0.4,0.395767,0.0313451,0,7.48056,0.0199026
0.00559999,0.4,0.395767,0.0313451,0,7.55105,0.0202786
0.00564999,0.4,0.395768,0.0313451,0,7.62153,0.0206581
0.00569999,0.4,0.395768,0.0313452,0,7.69202,0.0210411
0.00574999,0.4,0.395768,0.0313452,0,7.76249,0.0214276
0.00579999,0.4,0.395768,0.0313452,0,7.83297,0.0218177
0.00584999,0.4,0.395769,0.0313452,0,7.90344,0.0222113
0.00589999,0.4,0.395769,0.0313452,0,7.9739,0.0226084
0.00594999,0.4,0.395769,0.0313453,0,8.04437,0.023009
0.00599999,0.4,0.395769,0.0313453,0,8.11483,0.0234132
0.00604999,0.4,0.39577,0.0313453,0,8.18528,0.0238209
0.00609999,0.4,0.39577,0.0313453,0,8.25574,0.0242321
0.00614999,0.4,0.39577,0.0313453,0,8.32619,0.0246468
0.00619999,0.4,0.39577,0.0313453,0,8.39663,0.025065
0.00624999,0.4,0.39577,0.0313454,0,8.46708,0.0254868
0.00629999,0.4,0.395771,0.0313454,0,8.53752,0.0259121
0.00634999,0.4,0.395771,0.0313454,0,8.60795,0.0263409
0.00639999,0.4,0.395771,0.0313454,0,8.67838,0.0267732
0.00644999,0.4,0.395771,0.0313454,0,8.74881,0.0272091
0.00649999,0.4,0.395772,0.0313455,0,8.81924,0.0276485
0.00654999,0.4,0.395772,0.0313455,0,8.88966,0.0280914
0.00659999,0.4,0.395772,0.0313455,0,8.96008,0.0285378
0.00664999,0.4,0.395772,0.0313455,0,9.03049,0.0289877
0.00669999,0.4,0.395773,0.0313455,0,9.1009,0.0294412
0.00674999,0.4,0.395773,0.0313455,0,9.17131,0.0298982
0.00679999,0.4,0.395773,0.0313456,0,9.24172,0.0303587
0.00684999,0.4,0.395773,0.0313456,0,9.31212,0.0308227
0.00689999,0.4,0.395774,0.0313456,0,9.38252,0.0312902
0.00694999,0.4,0.395774,0.0313456,0,9.45291,0.0317613
0.00699999,0.4,0.395774,0.0313456,0,9.5233,0.0322359
0.00704999,0.4,0.395774,0.0313457,0,9.59369,0.032714
0.00709999,0.4,0.395775,0.0313457,0,9.66407,0.0331956
0.00714999,0.4,0.395775,0.0313457,0,9.73445,0.0336807
0.00719999,0.4,0.395775,0.0313457,0,9.80483,0.0341694
0.00724999,0.4,0.395775,0.0313457,0,9.8752,0.0346616
0.00729999,0.4,0.395775,0.0313457,0,9.94557,0.0351573
0.00734999,0.4,0.395776,0.0313458,0,10.0159,0.0356565
0.00739999,0.4,0.395776,0.0313458,0,10.0863,0.0361592
0.00744999,0.4,0.395776,0.0313458,0,10.1567,0.0366655
0.00749999,0.4,0.395776,0.0313458,0,10.227,0.0371752
0.00754999,0.4,0.395777,0.0313458,0,10.2974,0.0376885
0.00759999,0.4,0.395777,0.0313458,0,10.3677,0.0382053
0.00764999,0.4,0.395777,0.0313459,0,10.4381,0.0387256
0.00769999,0.4,0.395777,0.0313459,0,10.5084,0.0392495
0.00774999,0.4,0.395778,0.0313459,0,10.5787,0.0397768
0.00779999,0.4,0.395778,0.0313459,0,10.6491,0.0403077
0.00784999,0.4,0.395778,0.0313459,0,10.7194,0.0408421
0.00789999,0.4,0.395778,0.031346,0,10.7897,0.04138
0.00794999,0.4,0.395778,0.031346,0,10.8601,0.0419214
0.00799999,0.4,0.395779,0.031346,0,10.9304,0.0424663
0.00804999,0.4,0.395779,0.031346,0,11.0007,0.0430148
0.00809999,0.4,0.395779,0.031346,0,11.071,0.0435668
0.00814999,0.4,0.395779,0.031346,0,11.1413,0.0441223
0.00819999,0.4,0.39578,0.0313461,0,11.2116,0.0446813
0.00824999,0.4,0.39578,0.0313461,0,11.2819,0.0452438
0.00829999,0.4,0.39578,0.0313461,0,11.3522,0.0458098
0.00834999,0.4,0.39578,0.0313461,0,11.4225,0.0463793
0.00839999,0.4,0.395781,0.0313461,0,11.4928,0.0469524
0.00844999,0.4,0.395781,0.0313461,0,11.5631,0.047529
0.00849999,0.4,0.395781,0.0313462,0,11.6334,0.0481091
0.00854999,0.4,0.395781,0.0313462,0,11.7037,0.0486927
0.00859999,0.4,0.395781,0.0313462,0,11.774,0.0492798
0.00864999,0.4,0.395782,0.0313462,0,11.8442,0.0498704
0.00869999,0.4,0.395782,0.0313462,0,11.9145,0.0504646
0.00874999,0.4,0.395782,0.0313463,0,11.9848,0.0510622
0.00879999,0.4,0.395782,0.0313463,0,12.055,0.0516634
0.00884999,0.4,0.395783,0.0313463,0,12.1253,0.0522681
0.00889999,0.4,0.395783,0.0313463,0,12.1956,0.0528763
0.00894999,0.4,0.395783,0.0313463,0,12.2658,0.053488
0.00899999,0.4,0.395783,0.0313463,0,12.3361,0.0541032
0.00904999,0.4,0.395784,0.0313464,0,12.4063,0.0547219
0.00909999,0.4,0.395784,0.0313464,0,12.4766,0.0553442
0.00914999,0.4,0.395784,0.0313464,0,12.5468,0.0559699
0.00919999,0.4,0.395784,0.0313464,0,12.617,0.0565992
0.00924999,0.4,0.395784,0.0313464,0,12.6873,0.057232
0.00929999,0.4,0.395785,0.0313464,0,12.7575,0.0578683
0.00934999,0.4,0.395785,0.0313465,0,12.8277,0.0585081
0.00939999,0.4,0.395785,0.0313465,0,12.898,0.0591514
0.00944999,0.4,0.395785,0.0313465,0,12.9682,0.0597982
0.00949999,0.4,0.395786,0.0313465,0,13.0384,0.0604486
0.00954999,0.4,0.395786,0.0313465,0,13.1086,0.0611024
0.00959999,0.4,0.395786,0.0313466,0,13.1788,0.0617598
0.00964999,0.4,0.395786,0.0313466,0,13.249,0.0624207
