# scenario=openloop
t,theta_e_cmd,theta_e_true,slip,id,iq,omega
0,0.2,1.67922e-07,0.2,0.0457116,0.00926587,0.000815755
0.0005,0.2,0.000112004,0.199888,0.258874,0.0522565,0.04222
0.001,0.4,0.000451811,0.399548,0.300593,0.0697105,0.0833598
0.0015,0.4,0.0011938,0.398806,0.297129,0.112171,0.198859
0.002,0.6,0.00271605,0.597284,0.292139,0.127713,0.356135
0.0025,0.6,0.00526578,0.594734,0.271702,0.165361,0.580789
0.003,0.8,0.00917597,0.790824,0.262124,0.177624,0.840686
0.0035,0.8,0.0146494,0.785351,0.23474,0.208921,1.15645
0.004,1,0.0219592,0.978041,0.223278,0.217503,1.49951
0.0045,1,0.0312572,0.968743,0.191006,0.241643,1.88535
0.005,1.2,0.0427498,1.15725,0.178699,0.246564,2.29014
0.00549999,1.2,0.0565365,1.14346,0.143299,0.26334,2.72416
0.00599999,1.4,0.0727562,1.32724,0.131035,0.264953,3.16915
0.00649999,1.4,0.0914593,1.30854,0.0941202,0.274657,3.63039
0.00699999,1.6,0.112721,1.48728,0.082608,0.27354,4.09556
0.00749999,1.6,0.136548,1.46345,0.0455347,0.276816,4.56521
0.00799999,1.8,0.16296,1.63704,0.0352679,0.273659,5.03304
0.00849999,1.8,0.191927,1.60807,-0.000918422,0.271351,5.49523
0.00899999,2,0.223421,1.77658,-0.00966031,0.266853,5.95126
0.00949999,2,0.257387,1.74261,-0.0442223,0.259872,6.39331
0.00999999,2.2,0.293756,1.90624,-0.0513426,0.254674,6.82621
0.0105,2.2,0.332455,1.86755,-0.0838131,0.243904,7.23851
0.011,2.4,0.373384,2.02662,-0.089354,0.238538,7.63986
0.0115,2.4,0.416459,1.98354,-0.119483,0.224773,8.01555
0.012,2.6,0.461557,2.13844,-0.12358,0.219656,8.37947
0.0125,2.6,0.508587,2.09141,-0.151275,0.203571,8.71396
0.013,2.8,0.55741,2.24259,-0.154121,0.198999,9.03661
0.0135,2.8,0.607934,2.19207,-0.179399,0.181142,9.32712
0.014,3,0.660008,2.33999,-0.181208,0.177304,9.60623
0.0145,3,0.71354,2.28646,-0.204149,0.158101,9.85129
0.015,3.2,0.768371,2.43163,-0.20514,0.155098,10.0857
0.0155,3.2,0.824413,2.37559,-0.225859,0.134865,10.2848
0.016,3.4,0.881503,2.5185,-0.226239,0.132723,10.4743
0.0165,3.4,0.939555,2.46045,-0.244857,0.111687,10.6274
0.017,3.6,0.998403,2.6016,-0.244813,0.110378,10.7719
0.0175,3.6,1.05797,2.54204,-0.261443,0.0886876,10.8794
0.018,3.8,1.11807,2.68193,-0.261138,0.0881408,10.9793
0.0185,3.8,1.17865,2.62135,-0.275869,0.065887,11.0417
0.019,4,1.23953,2.76047,-0.275439,0.0659993,11.0971
0.0195,4,1.30063,2.69937,-0.288333,0.043228,11.1147
0.0200001,4.2,1.36179,2.83821,-0.287883,0.0438732,11.126
0.0205001,4.2,1.42293,2.77707,-0.298963,0.0205978,11.0989
0.0210001,4.4,1.48387,2.91613,-0.29857,0.0216328,11.066
0.0215001,4.4,1.54456,2.85544,-0.307815,-0.00215506,10.9941
0.0220001,4.6,1.6048,2.9952,-0.307523,-0.000885697,10.9165
0.0225001,4.6,1.66454,2.93546,-0.314866,-0.025204,10.7994
0.0230001,4.8,1.72358,3.07641,-0.314682,-0.0238636,10.6764
0.0235001,4.8,1.78187,3.01813,-0.320001,-0.048729,10.5133
0.0240001,5,1.83922,-3.1224,-0.319893,-0.0474849,10.3438
0.0245001,5,1.89555,3.10445,-0.323006,-0.0729003,10.1335
0.0250001,5.2,1.95067,-3.03386,-0.322894,-0.0719188,9.91609
0.0255001,5.2,2.00451,-3.0877,-0.323554,-0.0978577,9.65708
0.0260002,5.4,2.05688,-2.94006,-0.323306,-0.0972963,9.39005
0.0265002,5.4,2.10769,-2.99087,-0.321196,-0.123684,9.08073
0.0270002,5.6,2.15674,-2.83992,-0.320615,-0.12368,8.7622
0.0275002,5.6,2.20395,-2.88714,-0.315346,-0.150368,8.40089
0.0280002,5.8,2.24912,-2.7323,-0.314165,-0.151026,8.02904
0.0285002,5.8,2.29215,-2.77533,-0.305277,-0.177761,7.61425
0.0290002,6,2.33284,-2.61602,-0.303152,-0.179124,7.1876
0.0295002,6,2.37109,-2.65427,-0.290129,-0.205512,6.71844
0.0300002,6.2,2.40669,-2.48988,-0.286638,-0.207539,6.23627
0.0305002,6.2,2.43956,-2.52275,-0.268934,-0.232997,5.71293
0.0310002,0.116813,2.46949,-2.35268,-0.263591,-0.235517,5.17585
0.0315002,0.116813,2.49638,-2.37957,-0.240678,-0.259228,4.60027
0.0320003,0.316813,2.52004,-2.20323,-0.232963,-0.261904,4.01101
0.0325003,0.316813,2.54039,-2.22358,-0.204414,-0.282772,3.38771
0.0330003,0.516813,2.55725,-2.04044,-0.193828,-0.285052,2.752
0.0335003,0.516813,2.57056,-2.05375,-0.159441,-0.301682,2.08907
0.0340003,0.716813,2.58018,-1.86337,-0.145604,-0.302777,1.41674
0.0345003,0.716813,2.58607,-1.86926,-0.105561,-0.313498,0.726878
0.0350003,0.916813,2.58814,-1.67133,-0.0883386,-0.312387,0.0330274
0.0355003,0.916813,2.58675,-1.66994,-0.0435165,-0.315962,-0.524859
0.0360003,1.11681,2.58234,-1.46553,-0.0235506,-0.312682,-1.07233
0.0365003,1.11681,2.57494,-1.45813,0.0241404,-0.307526,-1.61081
0.0370003,1.31681,2.56461,-1.2478,0.045929,-0.300024,-2.13827
0.0375003,1.31681,2.55145,-1.23464,0.0942245,-0.284307,-2.63845
0.0380004,1.51681,2.5356,-1.01879,0.116541,-0.271794,-3.11581
