# scenario=step-free
t,iq_ref,iq,id,vd,vq,omega,theta_e,duty_a,duty_b,duty_c
0,0,0,0,0,0,0,0,0.5,0.5,0.5
5e-05,0,0,0,0,0,0,0,0.5,0.5,0.5
0.0001,0,0,0,0,0,0,0,0.5,0.5,0.5
0.00015,0,0,0,0,0,0,0,0.5,0.5,0.5
0.0002,0,0,0,0,0,0,0,0.5,0.5,0.5
0.00025,0,0,0,0,0,0,0,0.5,0.5,0.5
0.0003,0,0,0,0,0,0,0,0.5,0.5,0.5
0.00035,0,0,0,0,0,0,0,0.5,0.5,0.5
0.0004,0,0,0,0,0,0,0,0.5,0.5,0.5
0.00045,0,0,0,0,0,0,0,0.5,0.5,0.5
0.0005,0,0,0,0,0,0,0,0.5,0.5,0.5
0.00055,0,0,0,0,0,0,0,0.5,0.5,0.5
0.0006,0,0,0,0,0,0,0,0.5,0.5,0.5
0.00065,0,0,0,0,0,0,0,0.5,0.5,0.5
0.0007,0,0,0,0,0,0,0,0.5,0.5,0.5
0.00075,0,0,0,0,0,0,0,0.5,0.5,0.5
0.0008,0,0,0,0,0,0,0,0.5,0.5,0.5
0.00085,0,0,0,0,0,0,0,0.5,0.5,0.5
0.0009,0,0,0,0,0,0,0,0.5,0.5,0.5
0.00095,0,0,0,0,0,0,0,0.5,0.5,0.5
0.001,0,0,0,0,0,0,0,0.5,0.5,0.5
0.00105,0.5,0.0846577,9.62476e-08,0,3.26726,0.00745315,1.53422e-06,0.5,0.735794,0.264206
0.0011,0.5,0.154074,1.39728e-06,-6.28931e-07,3.15388,0.0281936,1.14171e-05,0.499999,0.727612,0.272388
0.00115,0.5,0.211097,5.65182e-06,-9.21524e-06,3.06563,0.0578734,3.55643e-05,0.499994,0.721243,0.278757
0.0012,0.5,0.258029,1.43144e-05,-3.82457e-05,2.99731,0.0964695,7.86452e-05,0.499982,0.716312,0.283688
0.00125,0.5,0.29673,2.86225e-05,-9.98232e-05,2.94477,0.143602,0.000145611,0.499959,0.71252,0.28748
0.0013,0.5,0.32871,4.92452e-05,-0.000205911,2.90472,0.197779,0.000240691,0.499921,0.70963,0.29037
0.00135,0.5,0.355189,7.62742e-05,-0.000365848,2.87456,0.25778,0.00036738,0.499868,0.707453,0.292547
0.0014,0.5,0.377161,0.000109308,-0.000585788,2.8522,0.322609,0.000528571,0.499796,0.70584,0.29416
0.00145,0.5,0.395434,0.000147615,-0.000868743,2.83601,0.391446,0.000726664,0.499704,0.704671,0.295329
0.0015,0.5,0.410665,0.000190258,-0.00121522,2.82466,0.463618,0.000963653,0.499592,0.703852,0.296148
0.00155,0.5,0.42339,0.000236251,-0.00162372,2.81711,0.538573,0.0012412,0.499458,0.703307,0.296693
0.0016,0.5,0.434046,0.000284551,-0.00209161,2.81254,0.615854,0.0015607,0.499302,0.702977,0.297023
0.00165,0.5,0.442991,0.000334199,-0.00261505,2.8103,0.695085,0.0019233,0.499125,0.702815,0.297185
0.0017,0.5,0.450517,0.000384324,-0.00318978,2.80987,0.775952,0.00233,0.498926,0.702784,0.297216
0.00175,0.5,0.456864,0.000434169,-0.0038113,2.81084,0.858197,0.00278159,0.498705,0.702854,0.297146
0.0018,0.5,0.46223,0.000483107,-0.00447508,2.81289,0.941606,0.00327878,0.498463,0.703001,0.296999
0.00185,0.5,0.466778,0.000530594,-0.00517678,2.81577,1.026,0.00382215,0.498199,0.703208,0.296792
0.0019,0.5,0.47064,0.000576244,-0.00591205,2.81928,1.11122,0.0044122,0.497914,0.703461,0.296539
0.00195,0.5,0.473928,0.000619757,-0.00667708,2.82326,1.19715,0.00504933,0.497608,0.703747,0.296253
0.002,0.5,0.476733,0.000660917,-0.00746831,2.8276,1.28369,0.00573392,0.497282,0.704059,0.295941
0.00205,0.5,0.479132,0.000699603,-0.00828244,2.8322,1.37074,0.00646626,0.496935,0.70439,0.29561
0.0021,0.5,0.481188,0.000735745,-0.0091166,2.83699,1.45823,0.00724661,0.496567,0.704734,0.295266
0.00215,0.5,0.482953,0.000769333,-0.00996818,2.84192,1.54609,0.0080752,0.49618,0.705087,0.294913
0.0022,0.5,0.484471,0.000800405,-0.0108349,2.84694,1.63428,0.00895222,0.495772,0.705447,0.294553
0.00225,0.5,0.485779,0.000829028,-0.0117146,2.85201,1.72274,0.00987782,0.495344,0.70581,0.29419
0.0023,0.5,0.486909,0.000855279,-0.0126057,2.85712,1.81144,0.0108521,0.494897,0.706176,0.293824
0.00235,0.5,0.487886,0.000879276,-0.0135065,2.86225,1.90035,0.0118753,0.494429,0.706542,0.293458
0.0024,0.5,0.488733,0.000901141,-0.0144157,2.86738,1.98943,0.0129475,0.493942,0.706908,0.293092
0.00245,0.5,0.489467,0.000921002,-0.015332,2.8725,2.07867,0.0140686,0.493435,0.707273,0.292727
0.0025,0.5,0.490105,0.000938998,-0.0162545,2.87761,2.16804,0.0152389,0.492908,0.707637,0.292363
0.00255,0.5,0.490661,0.000955266,-0.0171822,2.88271,2.25752,0.0164584,0.492362,0.707998,0.292002
0.0026,0.5,0.491144,0.000969941,-0.0181145,2.88778,2.34711,0.0177272,0.491795,0.708358,0.291642
0.00265,0.5,0.491566,0.000983143,-0.0190507,2.89284,2.43677,0.0190452,0.491209,0.708715,0.291285
0.0027,0.5,0.491934,0.000994992,-0.0199902,2.89787,2.52652,0.0204126,0.490603,0.709071,0.290929
0.00275,0.5,0.492256,0.00100561,-0.0209324,2.90288,2.61632,0.0218293,0.489978,0.709423,0.290577
0.0028,0.5,0.492538,0.00101512,-0.0218771,2.90788,2.70618,0.0232955,0.489332,0.709773,0.290227
0.00285,0.5,0.492784,0.0010236,-0.0228238,2.91285,2.79609,0.0248111,0.488667,0.710121,0.289879
0.0029,0.5,0.493,0.00103118,-0.0237722,2.9178,2.88605,0.0263761,0.487981,0.710467,0.289533
0.00295,0.5,0.49319,0.00103792,-0.0247221,2.92274,2.97603,0.0279907,0.487276,0.71081,0.28919
0.003,0.5,0.493356,0.00104392,-0.0256732,2.92766,3.06605,0.0296547,0.48655,0.711151,0.288849
0.00305,0.5,0.493502,0.00104924,-0.0266254,2.93256,3.1561,0.0313683,0.485804,0.711489,0.288511
0.0031,0.5,0.49363,0.00105398,-0.0275785,2.93745,3.24616,0.0331314,0.485038,0.711826,0.288174
0.00315,0.5,0.493743,0.00105817,-0.0285324,2.94233,3.33625,0.034944,0.484252,0.71216,0.28784
0.0032,0.5,0.493842,0.00106188,-0.0294869,2.94719,3.42635,0.0368062,0.483446,0.712491,0.287509
0.00325,0.5,0.49393,0.00106516,-0.0304419,2.95205,3.51647,0.038718,0.482619,0.712821,0.287179
0.0033,0.5,0.494007,0.00106807,-0.0313974,2.9569,3.6066,0.0406793,0.481771,0.713148,0.286852
0.00335,0.5,0.494074,0.00107064,-0.0323534,2.96173,3.69674,0.0426902,0.480903,0.713473,0.286527
0.0034,0.5,0.494134,0.0010729,-0.0333097,2.96656,3.78689,0.0447507,0.480015,0.713796,0.286204
0.00345,0.5,0.494187,0.00107491,-0.0342663,2.97138,3.87704,0.0468607,0.479105,0.714116,0.285884
0.0035,0.5,0.494233,0.00107667,-0.0352232,2.9762,3.9672,0.0490204,0.478175,0.714434,0.285566
0.00355,0.5,0.494274,0.00107823,-0.0361803,2.98101,4.05736,0.0512296,0.477224,0.71475,0.28525
0.0036,0.5,0.49431,0.0010796,-0.0371376,2.98581,4.14753,0.0534884,0.476252,0.715063,0.284937
0.00365,0.5,0.494342,0.00108082,-0.038095,2.99061,4.2377,0.0557968,0.475259,0.715373,0.284627
0.0037,0.5,0.494371,0.0010819,-0.0390526,2.99541,4.32787,0.0581549,0.474245,0.715682,0.284318
0.00375,0.5,0.494396,0.00108286,-0.0400104,3.0002,4.41804,0.0605625,0.47321,0.715987,0.284013
0.0038,0.5,0.494418,0.00108369,-0.0409683,3.00499,4.50821,0.0630197,0.472154,0.71629,0.28371
0.00385,0.5,0.494437,0.00108445,-0.0419263,3.00978,4.59838,0.0655264,0.471076,0.71659,0.28341
0.0039,0.5,0.494454,0.00108512,-0.0428845,3.01456,4.68855,0.0680828,0.469977,0.716888,0.283112
0.00395,0.5,0.49447,0.00108571,-0.0438428,3.01934,4.77872,0.0706888,0.468857,0.717182,0.282818
0.004,0.5,0.494483,0.00108624,-0.0448012,3.02412,4.86889,0.0733444,0.467715,0.717474,0.282526
0.00405,0.5,0.494495,0.00108672,-0.0457597,3.0289,4.95906,0.0760496,0.466551,0.717762,0.282238
0.0041,0.5,0.494506,0.00108715,-0.0467183,3.03367,5.04922,0.0788043,0.465366,0.718047,0.281953
0.00415,0.5,0.494515,0.00108754,-0.0476771,3.03845,5.13938,0.0816087,0.464159,0.71833,0.28167
0.0042,0.5,0.494523,0.0010879,-0.0486359,3.04322,5.22954,0.0844626,0.462931,0.718608,0.281392
0.00425,0.5,0.494531,0.00108823,-0.0495949,3.04799,5.31969,0.0873661,0.461681,0.718883,0.281117
0.0043,0.5,0.494537,0.00108853,-0.050554,3.05276,5.40984,0.0903192,0.460409,0.719155,0.280845
0.00435,0.5,0.494543,0.00108882,-0.0515133,3.05753,5.49999,0.0933219,0.459115,0.719423,0.280577
0.0044,0.5,0.494548,0.00108908,-0.0524727,3.06229,5.59014,0.0963741,0.457799,0.719687,0.280313
0.00445,0.5,0.494553,0.00108934,-0.0534322,3.06706,5.68028,0.099476,0.456461,0.719948,0.280052
