# scenario=step
t,iq_ref,iq,id,vd,vq,omega,theta_e,duty_a,duty_b,duty_c
0,0,0,0,0,0,0,0,0.5,0.5,0.5
5e-05,0,0,0,0,0,0,0,0.5,0.5,0.5
0.0001,0,0,0,0,0,0,0,0.5,0.5,0.5
0.00015,0,0,0,0,0,0,0,0.5,0.5,0.5
0.0002,0,0,0,0,0,0,0,0.5,0.5,0.5
0.00025,0,0,0,0,0,0,0,0.5,0.5,0.5
0.0003,0,0,0,0,0,0,0,0.5,0.5,0.5
0.00035,0,0,0,0,0,0,0,0.5,0.5,0.5
0.0004,0,0,0,0,0,0,0,0.5,0.5,0.5
0.00045,0,0,0,0,0,0,0,0.5,0.5,0.5
0.0005,0,0,0,0,0,0,0,0.5,0.5,0.5
0.00055,0,0,0,0,0,0,0,0.5,0.5,0.5
0.0006,0,0,0,0,0,0,0,0.5,0.5,0.5
0.00065,0,0,0,0,0,0,0,0.5,0.5,0.5
0.0007,0,0,0,0,0,0,0,0.5,0.5,0.5
0.00075,0,0,0,0,0,0,0,0.5,0.5,0.5
0.0008,0,0,0,0,0,0,0,0.5,0.5,0.5
0.00085,0,0,0,0,0,0,0,0.5,0.5,0.5
0.0009,0,0,0,0,0,0,0,0.5,0.5,0.5
0.00095,0,0,0,0,0,0,0,0.5,0.5,0.5
0.001,0,0,0,0,0,0,0,0.5,0.5,0.5
0.00105,0.5,0.0846606,1.97644e-12,0,3.26726,1.552e-07,3.16224e-11,0.5,0.735794,0.264206
0.0011,0.5,0.154098,2.09207e-09,-1.29151e-11,3.15386,6.17747e-07,2.44333e-10,0.5,0.727611,0.272389
0.00115,0.5,0.21117,1.9135e-09,-1.36724e-08,3.06547,1.3326e-06,7.90005e-10,0.5,0.721232,0.278768
0.0012,0.5,0.25818,-1.18539e-10,-1.43458e-08,2.99681,2.255e-06,1.79345e-09,0.5,0.716276,0.283724
0.00125,0.5,0.296993,8.71589e-09,-2.75063e-09,2.94369,3.34854e-06,3.35747e-09,0.5,0.712442,0.287558
0.0013,0.5,0.329114,1.2523e-08,-6.0375e-08,2.90278,4.58351e-06,5.56693e-09,0.5,0.70949,0.29051
0.00135,0.5,0.355762,1.21297e-08,-9.29195e-08,2.87146,5.93563e-06,8.49206e-09,0.5,0.70723,0.29277
0.0014,0.5,0.377927,4.12211e-09,-1.01365e-07,2.84765,7.38507e-06,1.21911e-08,0.5,0.705511,0.294489
0.00145,0.5,0.39641,4.11272e-09,-5.97095e-08,2.82969,8.91551e-06,1.67125e-08,0.5,0.704215,0.295785
0.0015,0.5,0.411864,-1.32495e-09,-6.32741e-08,2.8163,1.05136e-05,2.20967e-08,0.5,0.703249,0.296751
0.00155,0.5,0.424819,-3.07861e-09,-3.13593e-08,2.80643,1.21683e-05,2.83773e-08,0.5,0.702537,0.297463
0.0016,0.5,0.43571,2.52111e-09,-1.87345e-08,2.7993,1.38705e-05,3.55828e-08,0.5,0.702022,0.297978
0.00165,0.5,0.444891,2.13516e-09,-5.26178e-08,2.79427,1.56127e-05,4.3737e-08,0.5,0.701659,0.298341
0.0017,0.5,0.45265,-3.28557e-09,-5.23135e-08,2.79083,1.73886e-05,5.28598e-08,0.5,0.701411,0.298589
0.00175,0.5,0.459225,9.72295e-09,-1.87699e-08,2.78861,1.91931e-05,6.29682e-08,0.5,0.70125,0.29875
0.0018,0.5,0.464813,9.73695e-09,-1.00884e-07,2.78729,2.10219e-05,7.40766e-08,0.5,0.701155,0.298845
0.00185,0.5,0.469572,6.95898e-09,-1.09528e-07,2.78665,2.28712e-05,8.61972e-08,0.5,0.701109,0.298891
0.0019,0.5,0.473638,8.05141e-09,-9.99407e-08,2.7865,2.47381e-05,9.93403e-08,0.5,0.701098,0.298902
0.00195,0.5,0.477118,8.41305e-09,-1.13201e-07,2.7867,2.662e-05,1.13515e-07,0.5,0.701113,0.298887
0.002,0.5,0.480105,6.16939e-09,-1.22646e-07,2.78714,2.85148e-05,1.28729e-07,0.5,0.701145,0.298855
0.00205,0.5,0.482675,1.00142e-08,-1.15386e-07,2.78775,3.04206e-05,1.44988e-07,0.5,0.701189,0.298811
0.0021,0.5,0.48489,1.50238e-08,-1.45936e-07,2.78846,3.2336e-05,1.62298e-07,0.5,0.70124,0.29876
0.00215,0.5,0.486803,1.49296e-08,-1.8748e-07,2.78923,3.42595e-05,1.80664e-07,0.5,0.701295,0.298705
0.0022,0.5,0.488459,2.0847e-08,-2.00081e-07,2.79002,3.61902e-05,2.00091e-07,0.5,0.701352,0.298648
0.00225,0.5,0.489896,2.78632e-08,-2.51881e-07,2.7908,3.8127e-05,2.20581e-07,0.5,0.701409,0.298591
0.0023,0.5,0.491143,2.97191e-08,-3.16066e-07,2.79157,4.00692e-05,2.42138e-07,0.5,0.701464,0.298536
0.00235,0.5,0.492229,2.51824e-08,-3.52704e-07,2.7923,4.2016e-05,2.64765e-07,0.5,0.701517,0.298483
0.0024,0.5,0.493175,1.73181e-08,-3.49201e-07,2.793,4.39668e-05,2.88464e-07,0.5,0.701567,0.298433
0.00245,0.5,0.494001,2.31616e-08,-3.19963e-07,2.79365,4.59212e-05,3.13236e-07,0.5,0.701614,0.298385
0.0025,0.5,0.494723,2.22683e-08,-3.73381e-07,2.79426,4.78786e-05,3.39085e-07,0.5,0.701658,0.298342
0.00255,0.5,0.495354,2.18719e-08,-3.87918e-07,2.79482,4.98387e-05,3.66011e-07,0.5,0.701699,0.298301
0.0026,0.5,0.495907,2.6097e-08,-4.04916e-07,2.79534,5.18012e-05,3.94016e-07,0.5,0.701736,0.298264
0.00265,0.5,0.496393,3.22921e-08,-4.51764e-07,2.79581,5.37657e-05,4.23101e-07,0.5,0.70177,0.29823
0.0027,0.5,0.496818,3.20122e-08,-5.15202e-07,2.79624,5.5732e-05,4.53267e-07,0.5,0.701801,0.298199
0.00275,0.5,0.497193,2.42161e-08,-5.41779e-07,2.79663,5.76999e-05,4.84514e-07,0.5,0.701829,0.298171
0.0028,0.5,0.497522,2.03691e-08,-5.18994e-07,2.79698,5.96693e-05,5.16845e-07,0.5,0.701855,0.298145
0.00285,0.5,0.497811,2.20358e-08,-5.15158e-07,2.7973,6.16398e-05,5.50259e-07,0.5,0.701878,0.298122
0.0029,0.5,0.498066,1.81981e-08,-5.43966e-07,2.79759,6.36114e-05,5.84757e-07,0.5,0.701899,0.298101
0.00295,0.5,0.498291,1.5911e-08,-5.38273e-07,2.79785,6.5584e-05,6.2034e-07,0.5,0.701917,0.298083
0.003,0.5,0.498489,1.29686e-08,-5.39335e-07,2.79808,6.75574e-05,6.57009e-07,0.5,0.701934,0.298066
0.00305,0.5,0.498664,1.3663e-08,-5.34104e-07,2.79829,6.95315e-05,6.94762e-07,0.5,0.701949,0.298051
0.0031,0.5,0.498818,1.34265e-08,-5.50049e-07,2.79848,7.15063e-05,7.33602e-07,0.5,0.701963,0.298037
0.00315,0.5,0.498954,1.86505e-08,-5.60523e-07,2.79864,7.34816e-05,7.73528e-07,0.5,0.701975,0.298025
0.0032,0.5,0.499075,1.62655e-08,-6.0647e-07,2.79879,7.54575e-05,8.1454e-07,0.5,0.701985,0.298015
0.00325,0.5,0.499181,2.18692e-08,-6.07291e-07,2.79893,7.74338e-05,8.5664e-07,0.5,0.701995,0.298005
0.0033,0.5,0.499275,2.20252e-08,-6.58216e-07,2.79904,7.94105e-05,8.99826e-07,0.5,0.702004,0.297996
0.00335,0.5,0.499358,2.37806e-08,-6.78473e-07,2.79915,8.13875e-05,9.441e-07,0.5,0.702011,0.297989
0.0034,0.5,0.499432,3.72784e-08,-7.09318e-07,2.79925,8.33649e-05,9.89461e-07,0.5,0.702018,0.297982
0.00345,0.5,0.499497,3.41226e-08,-8.18438e-07,2.79933,8.53425e-05,1.03591e-06,0.5,0.702024,0.297976
0.0035,0.5,0.499554,4.15199e-08,-8.30608e-07,2.79941,8.73203e-05,1.08345e-06,0.5,0.70203,0.29797
0.00355,0.5,0.499605,2.91876e-08,-9.08961e-07,2.79947,8.92984e-05,1.13207e-06,0.499999,0.702035,0.297965
0.0036,0.5,0.49965,2.27196e-08,-8.64899e-07,2.79953,9.12766e-05,1.18178e-06,0.499999,0.702039,0.297961
0.00365,0.5,0.49969,2.3403e-08,-8.48308e-07,2.79959,9.32551e-05,1.23258e-06,0.499999,0.702043,0.297957
0.0037,0.5,0.499725,1.99823e-08,-8.72759e-07,2.79963,9.52336e-05,1.28447e-06,0.499999,0.702046,0.297954
0.00375,0.5,0.499757,2.13691e-08,-8.70993e-07,2.79967,9.72123e-05,1.33745e-06,0.499999,0.702049,0.297951
0.0038,0.5,0.499784,2.69445e-08,-8.97632e-07,2.79971,9.91911e-05,1.39152e-06,0.499999,0.702052,0.297948
0.00385,0.5,0.499809,2.79425e-08,-9.52862e-07,2.79974,0.00010117,1.44667e-06,0.499999,0.702054,0.297946
0.0039,0.5,0.499831,2.5106e-08,-9.83084e-07,2.79977,0.000103149,1.50291e-06,0.499999,0.702056,0.297944
0.00395,0.5,0.49985,2.52483e-08,-9.89129e-07,2.7998,0.000105128,1.56024e-06,0.499999,0.702058,0.297942
0.004,0.5,0.499867,2.38973e-08,-1.01214e-06,2.79982,0.000107107,1.61866e-06,0.499999,0.70206,0.29794
0.00405,0.5,0.499882,2.34079e-08,-1.02552e-06,2.79984,0.000109086,1.67817e-06,0.499999,0.702061,0.297939
